"Domain Name","Bidders","Minimum Bid","Order By","Status","",""
"021jiagong.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"021jingrui.com","0","79","Dec 10, 2021 9:00:00 PM","Available Soon","","",
"021jpgj.com","0","377","May 17, 2022 12:15:00 PM","Buy It Now","","",
"021jzw.com","0","79","Dec 14, 2021 9:00:00 PM","Available Soon","","",
"021jzwj.com","0","79","Dec 4, 2021 9:00:00 PM","Available Soon","","",
"021kaixin1.com","0","79","Dec 6, 2021 9:00:00 PM","Available Soon","","",
"021kuimiao.com","0","79","Dec 18, 2021 9:00:00 PM","Available Soon","","",
"021kunyu.com","0","79","Nov 28, 2021 9:00:00 PM","Available Soon","","",
"021l.cc","-","79","Dec 3, 2021 12:45:00 AM","Available Soon","","",
"021liyuan.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"021meiyuan.com","0","79","Dec 4, 2021 9:00:00 PM","Available Soon","","",
"021million.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"021mlc.com","0","79","Dec 18, 2021 9:00:00 PM","Available Soon","","",
"021mybj.cc","-","79","Dec 3, 2021 12:45:00 AM","Available Soon","","",
"021parking.com","0","377","Apr 22, 2022 12:15:00 PM","Buy It Now","","",
"021pi.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"021pig.com","0","277","Apr 10, 2022 12:15:00 PM","Buy It Now","","",
"021pipe.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"021plays.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"021pt.com","0","79","Dec 11, 2021 9:00:00 PM","Available Soon","","",
"021qianyi.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"021qiuhan.com","0","79","Dec 6, 2021 9:00:00 PM","Available Soon","","",
"021sangnawang.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"021shibai.com","0","79","Dec 6, 2021 9:00:00 PM","Available Soon","","",
"021shjiaji.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"021shpin.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"021shtlby.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"021shuichuli.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"021shuisenhuo.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"021snsm.net","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"021sv.com","0","79","Dec 10, 2021 9:00:00 PM","Available Soon","","",
"021tel.net","0","79","Nov 30, 2021 9:00:00 PM","Available Soon","","",
"021ttz.com","0","79","Dec 12, 2021 9:00:00 PM","Available Soon","","",
"021vakia.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"021vin.com","0","277","Jan 23, 2022 12:15:00 PM","Buy It Now","","",
"021website.com","0","79","Dec 17, 2021 9:00:00 PM","Available Soon","","",
"021wenyuan.com","0","79","Dec 10, 2021 9:00:00 PM","Available Soon","","",
"021windows.com","0","79","Dec 16, 2021 9:00:00 PM","Available Soon","","",
"021wp.com","0","577","Jun 14, 2022 12:15:00 PM","Buy It Now","","",
"021www.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"021xckyy.com","0","79","Nov 27, 2021 9:00:00 PM","Available Soon","","",
"021xkc.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"021yian.com","0","79","Dec 12, 2021 9:00:00 PM","Available Soon","","",
"021yuechen.com","0","79","Dec 13, 2021 9:00:00 PM","Available Soon","","",
"021zw.com","0","79","Dec 1, 2021 9:00:00 PM","Available Soon","","",
"021zxmr.com","0","79","Dec 3, 2021 9:00:00 PM","Available Soon","","",
"022-ckm.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"022-jlm.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"0220z.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"022317.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"022321.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"022487.com","0","277","Jan 17, 2022 12:15:00 PM","Buy It Now","","",
"022518.com","0","277","Jan 27, 2022 12:15:00 PM","Buy It Now","","",
"02260888.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"022616.com","0","277","Feb 2, 2022 12:15:00 PM","Buy It Now","","",
"022628.com","0","377","May 21, 2022 12:15:00 PM","Buy It Now","","",
"022748.com","0","377","Mar 30, 2022 12:15:00 PM","Buy It Now","","",
"022791.com","0","277","Jan 17, 2022 12:15:00 PM","Buy It Now","","",
"022908.com","0","277","Dec 21, 2021 12:15:00 PM","Buy It Now","","",
"022aaa.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"022app.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"022aybb.com","0","79","Dec 13, 2021 9:00:00 PM","Available Soon","","",
"022data.com","0","377","Apr 6, 2022 12:15:00 PM","Buy It Now","","",
"022dkw.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"022door.com","0","277","Jan 14, 2022 12:15:00 PM","Buy It Now","","",
"022ffzs.com","0","79","Dec 17, 2021 9:00:00 PM","Available Soon","","",
"022gdp.com","0","79","Dec 15, 2021 9:00:00 PM","Available Soon","","",
"022ht.net","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"022licai.com","0","79","Dec 2, 2021 9:00:00 PM","Available Soon","","",
"022liuchan.com","0","79","Dec 2, 2021 9:00:00 PM","Available Soon","","",
"022lrd.com","0","79","Dec 11, 2021 9:00:00 PM","Available Soon","","",
"022maicai.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"022mingxintong.com","0","79","Dec 8, 2021 9:00:00 PM","Available Soon","","",
"022mjj.com","0","79","Dec 9, 2021 9:00:00 PM","Available Soon","","",
"022vin.com","0","277","Jan 23, 2022 12:15:00 PM","Buy It Now","","",
"022wxjy.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"022xylt.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"022yuexiu.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"022yz.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"022zxzs.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"023006.com","0","377","May 17, 2022 12:15:00 PM","Buy It Now","","",
"023030.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"0230314.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"023044.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"023163.com","-","79","Dec 2, 2021 9:00:00 PM","Available Soon","","",
"023171.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"023234.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"02327.com","-","69","Dec 4, 2021 9:00:00 PM","Available Soon","Reserve: $201 - $500","Reserve Not Met",
"023280.com","0","277","Dec 17, 2021 12:15:00 PM","Buy It Now","","",
"0232a.com","0","277","Dec 5, 2021 12:15:00 PM","Buy It Now","","",
"0232d.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"023321.com","-","79","Dec 10, 2021 9:00:00 PM","Available Soon","","",
"023339.com","0","277","Jan 14, 2022 12:15:00 PM","Buy It Now","","",
"023452.com","0","277","Dec 3, 2021 12:15:00 PM","Buy It Now","","",
"023573.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"02367811833.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"023738.com","0","277","Dec 19, 2021 12:15:00 PM","Buy It Now","","",
"023756.com","0","377","Apr 26, 2022 12:15:00 PM","Buy It Now","","",
"023798.com","0","277","Dec 19, 2021 12:15:00 PM","Buy It Now","","",
"023807.com","0","277","Mar 9, 2022 12:15:00 PM","Buy It Now","","",
"023851.com","0","277","Mar 9, 2022 12:15:00 PM","Buy It Now","","",
"023928.com","0","377","May 15, 2022 12:15:00 PM","Buy It Now","","",
"023942.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"023997.com","0","377","Feb 5, 2022 12:15:00 PM","Buy It Now","","",
"023ak.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"023bmz.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"023chihuo.com","0","79","Dec 12, 2021 9:00:00 PM","Available Soon","","",
"023chikang.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"023cmgg.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"023didian.com","0","79","Nov 27, 2021 9:00:00 PM","Available Soon","","",
"023fenghui.com","0","79","Dec 13, 2021 9:00:00 PM","Available Soon","","",
"023gykj.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"023hm.com","0","79","Dec 14, 2021 9:00:00 PM","Available Soon","","",
"023hyhbd.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"023jiaju.net","0","79","Dec 8, 2021 9:00:00 PM","Available Soon","","",
"023jkc.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"023kdw.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"023ljy.com","0","79","Nov 29, 2021 9:00:00 PM","Available Soon","","",
"023lys.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"023movie.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"023msg.com","0","277","Dec 30, 2021 12:15:00 PM","Buy It Now","","",
"023pl.com","0","79","Dec 15, 2021 9:00:00 PM","Available Soon","","",
"023qhzs.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"023qrl.com","0","79","Dec 12, 2021 9:00:00 PM","Available Soon","","",
"023qyzy.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"023see.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"023sfbg.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"023sofa.com","0","377","Apr 1, 2022 12:15:00 PM","Buy It Now","","",
"023taolue.com","0","79","Nov 27, 2021 9:00:00 PM","Available Soon","","",
"023tn.com","0","277","Feb 2, 2022 12:15:00 PM","Buy It Now","","",
"023toy.com","0","277","Dec 25, 2021 12:15:00 PM","Buy It Now","","",
"023ttkdy.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"023unngo.com","0","79","Dec 5, 2021 9:00:00 PM","Available Soon","","",
"023vivi.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"023west.com","-","79","Dec 14, 2021 9:00:00 PM","Available Soon","","",
"023wow.com","0","79","Nov 27, 2021 9:00:00 PM","Available Soon","","",
"023wulong.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"023wx.com","0","79","Dec 12, 2021 9:00:00 PM","Available Soon","","",
"023xhebh.com","0","79","Dec 13, 2021 9:00:00 PM","Available Soon","","",
"023xhrlyy.com","0","79","Dec 8, 2021 9:00:00 PM","Available Soon","","",
"023yn.com","0","79","Dec 1, 2021 9:00:00 PM","Available Soon","","",
"023yutian.com","0","79","Dec 14, 2021 9:00:00 PM","Available Soon","","",
"023yyw.com","0","79","Dec 3, 2021 9:00:00 PM","Available Soon","","",
"023zbqj.com","0","79","Dec 2, 2021 9:00:00 PM","Available Soon","","",
"023zsw.com","0","79","Dec 15, 2021 9:00:00 PM","Available Soon","","",
"024010.com","0","377","Mar 2, 2022 12:15:00 PM","Buy It Now","","",
"024033.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"024038.com","0","377","Mar 30, 2022 12:15:00 PM","Buy It Now","","",
"024044.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"024098.com","0","377","Mar 30, 2022 12:15:00 PM","Buy It Now","","",
"0241jojobet.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"024273.com","0","277","Jan 17, 2022 12:15:00 PM","Buy It Now","","",
"024434.com","0","277","Dec 29, 2021 12:15:00 PM","Buy It Now","","",
"024548.com","0","377","Mar 30, 2022 12:15:00 PM","Buy It Now","","",
"0246348.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"024648.com","0","377","Mar 30, 2022 12:15:00 PM","Buy It Now","","",
"024668.com","0","377","Mar 31, 2022 12:15:00 PM","Buy It Now","","",
"024669.com","0","377","Feb 11, 2022 12:15:00 PM","Buy It Now","","",
"024708.com","0","377","Mar 30, 2022 12:15:00 PM","Buy It Now","","",
"024908.com","0","377","Mar 30, 2022 12:15:00 PM","Buy It Now","","",
"02490888.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"024913.cc","-","79","Nov 30, 2021 12:45:00 AM","Available Soon","","",
"02494.com","8","70","Nov 29, 2021 12:00:00 PM","In Auction","Reserve: $1 - $200","Reserve Not Met",
"024948.com","0","377","Mar 30, 2022 12:15:00 PM","Buy It Now","","",
"024anvyouylc.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"024aw.com","0","79","Dec 13, 2021 9:00:00 PM","Available Soon","","",
"024baidu.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"024ccc.com","0","79","Dec 17, 2021 9:00:00 PM","Available Soon","","",
"024cf.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"024dayin.com","0","79","Dec 10, 2021 9:00:00 PM","Available Soon","","",
"024dengju.com","0","79","Dec 14, 2021 9:00:00 PM","Available Soon","","",
"024dq.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"024dt.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"024fuk.com","0","79","Dec 18, 2021 9:00:00 PM","Available Soon","","",
"024full.com","0","79","Dec 18, 2021 9:00:00 PM","Available Soon","","",
"024gc.net","0","79","Dec 5, 2021 9:00:00 PM","Available Soon","","",
"024gift.com","0","277","Mar 8, 2022 12:15:00 PM","Buy It Now","","",
"024gy.net","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"024hcz.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"024idea.com","0","277","Dec 12, 2021 12:15:00 PM","Buy It Now","","",
"024jysfc.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"024kspx.com","-","79","Nov 29, 2021 10:45:00 AM","Available Soon","","",
"024ktv.com","0","79","Dec 12, 2021 9:00:00 PM","Available Soon","","",
"024liuxyk.com","0","79","Nov 28, 2021 9:00:00 PM","Available Soon","","",
"024meishi.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"024mp.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"024piaoliu.com","0","79","Dec 6, 2021 9:00:00 PM","Available Soon","","",
"024r.cc","-","79","Dec 3, 2021 12:45:00 AM","Available Soon","","",
"024skcy.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"024tengda.com","0","79","Dec 2, 2021 9:00:00 PM","Available Soon","","",
"024wddc.com","0","277","Nov 4, 2022 12:15:00 PM","Buy It Now","","",
"024xqjy.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"024xsl.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"024xymy.com","0","79","Dec 12, 2021 9:00:00 PM","Available Soon","","",
"024yanjing.com","0","277","Dec 17, 2021 12:15:00 PM","Buy It Now","","",
"024z.cc","-","79","Dec 3, 2021 12:45:00 AM","Available Soon","","",
"025003.com","0","277","May 19, 2022 12:15:00 PM","Buy It Now","","",
"025044.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"02508888.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"025099.com","0","277","Feb 3, 2022 12:15:00 PM","Buy It Now","","",
"025112.com","0","377","Feb 18, 2022 12:15:00 PM","Buy It Now","","",
"025165.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"025168.net","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"025174.com","0","277","Jan 6, 2022 12:15:00 PM","Buy It Now","","",
"025201.com","0","277","Jan 10, 2022 12:15:00 PM","Buy It Now","","",
"025211.com","0","377","Feb 7, 2022 12:15:00 PM","Buy It Now","","",
"025226.com","0","277","Mar 1, 2022 12:15:00 PM","Buy It Now","","",
"025232.com","0","277","Mar 1, 2022 12:15:00 PM","Buy It Now","","",
"0252420.com","-","79","Dec 2, 2021 10:45:00 AM","Available Soon","","",
"025257.com","0","277","Mar 1, 2022 12:15:00 PM","Buy It Now","","",
"025262.com","0","277","Mar 1, 2022 12:15:00 PM","Buy It Now","","",
"025282.com","0","277","Mar 1, 2022 12:15:00 PM","Buy It Now","","",
"025323.com","0","277","Mar 1, 2022 12:15:00 PM","Buy It Now","","",
"025332.com","0","277","Mar 1, 2022 12:15:00 PM","Buy It Now","","",
"025335.com","0","377","Feb 18, 2022 12:15:00 PM","Buy It Now","","",
"025337.com","0","277","Mar 1, 2022 12:15:00 PM","Buy It Now","","",
"025348.com","0","377","Mar 30, 2022 12:15:00 PM","Buy It Now","","",
"025359.com","0","277","Mar 1, 2022 12:15:00 PM","Buy It Now","","",
"025408.com","0","377","Mar 30, 2022 12:15:00 PM","Buy It Now","","",
"025411.com","0","277","Jan 15, 2022 12:15:00 PM","Buy It Now","","",
"025438.com","0","377","Mar 30, 2022 12:15:00 PM","Buy It Now","","",
"025458.com","0","377","Mar 30, 2022 12:15:00 PM","Buy It Now","","",
"025477.com","-","79","Nov 30, 2021 10:45:00 AM","Available Soon","","",
"025478.com","0","977","Oct 1, 2022 12:15:00 PM","Buy It Now","","",
"02553.com","-","69","Dec 4, 2021 9:00:00 PM","Available Soon","Reserve: $201 - $500","Reserve Not Met",
"025536.com","0","277","Dec 22, 2021 12:15:00 PM","Buy It Now","","",
"025555d.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"025555e.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"025555f.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"025555g.com","-","79","Dec 1, 2021 10:45:00 AM","Available Soon","","",
"025572.com","0","277","Apr 12, 2022 12:15:00 PM","Buy It Now","","",
"025587.com","0","277","Mar 1, 2022 12:15:00 PM","Buy It Now","","",
"025626.com","0","277","Dec 11, 2021 12:15:00 PM","Buy It Now","","",
"025648.com","0","377","May 17, 2022 12:15:00 PM","Buy It Now","","",
"02573.com","-","69","Dec 6, 2021 9:00:00 PM","Available Soon","Reserve: $201 - $500","Reserve Not Met",
"025776.com","0","277","Mar 1, 2022 12:15:00 PM","Buy It Now","","",
"025778.com","0","277","Dec 4, 2021 12:15:00 PM","Buy It Now","","",
"025808.com","-","79","Dec 16, 2021 9:00:00 PM","Available Soon","","",
"025816.com","0","277","Mar 1, 2022 12:15:00 PM","Buy It Now","","",
